,time,lat,lon,rain,MEV,HMV,vr500,vws1,vws3
223,2.02107E+11,37.95,116.52,22.86,0.15857799,125,0.820000074,5.7367315,7.18217
224,2.02107E+11,37.85,116.6,22.2,0.058689843,125,0.809999998,5.5360994,7.785355
225,2.02107E+11,37.84,116.7,27.1,0.026264452,3875,0.900000217,5.8038206,8.40715
226,2.02107E+11,37.85,116.66,30.33,0.12661938,3875,0.660000078,6.0089293,7.6108418
227,2.02107E+11,37.86,116.6,25.39,0.09572163,3875,1.200000057,6.865911,8.562531
228,2.02107E+11,38.46,117.66,21.67,1.2354075,750,1.139999949,7.5232835,12.437162
229,2.02107E+11,38.66,117.17,20.95,0.9390494,3875,1.179999788,3.175069,6.2449164
230,2.02107E+11,36.64,115.16,29.61,0.7874966,375,1.279999968,3.5632968,5.8101525
231,2.02107E+11,36.56,115.1,21.96,0.7601173,1625,1.149999909,2.713536,5.9809923
232,2.02107E+11,37.63,116.43,21.71,0.5610046,2875,0.989999971,1.9721138,5.0739446
233,2.02107E+11,37.52,116.26,27.32,0.52013427,2875,1.340000192,2.6935606,6.059554
234,2.02107E+11,37.45,115.62,20.29,0.6713321,3750,1.979999943,3.1240778,7.2647777
235,2.02107E+11,36.4,115.17,21.22,0.8589368,375,1.809999812,3.4192574,4.608525
236,2.02107E+11,38.12,114.92,20.14,0.38637394,125,0.840000168,2.9160252,3.32005
237,2.02107E+11,38.58,116.64,24.93,0.19900468,125,1.769999741,3.7775009,7.3607693
238,2.02107E+11,38.54,115.53,20.7,0.41819374,500,1.31999969,6.1933975,7.085936
239,2.02107E+11,38.06,115.02,21.4,1.3269202,1125,3.090000246,5.592669,7.559513
240,2.02107E+11,38.13,114.93,20.9,1.2020138,1125,1.839999692,5.6383667,8.015658
241,2.02107E+11,38.12,116.13,21.85,0.34185796,125,0.940000173,2.244361,6.3709474
242,2.02107E+11,38.19,116.12,26.59,0.4793951,0,1.099999878,2.5142393,6.635526
243,2.02107E+11,38.19,116.11,23.86,0.32195516,375,1.459999825,2.6527815,6.641303
244,2.02107E+11,37.38,115,21.21,0.20494193,0,1.670000143,3.265537,8.409574
245,2.02107E+11,39.57,116.72,22.89,0.9731183,0,1.75000017,2.7414768,6.4475665
246,2.02107E+11,39.37,116.6,26.38,0.8698275,0,2.090000082,3.8744729,6.0916963
247,2.02107E+11,39.52,116.79,24.2,0.8772077,0,2.529999707,3.5658941,5.9620023
248,2.02107E+11,39.58,116.75,31.01,0.77735036,0,2.310000127,3.208012,5.4347963
249,2.02107E+11,39.43,116.55,25.49,0.75509815,0,2.190000145,3.625124,5.1519065
250,2.02107E+11,39.38,116.8,26.49,0.796771,125,1.600000076,3.5761187,5.196767
251,2.02107E+11,39.44,116.84,21.44,0.7195247,375,1.810000045,3.4623022,5.0982428
252,2.02107E+11,39.45,116.85,28.35,0.72782685,375,2.490000101,3.500988,4.9334674
253,2.02107E+11,39.42,116.91,24.46,0.57881254,375,1.450000214,3.6050074,4.7347064
254,2.02107E+11,38.16,116.01,25.72,0.072998732,125,1.379999914,4.867893,5.5213757
255,2.02107E+11,38.14,116.02,23.25,0.0995602,125,1.12000003,5.082696,5.5226903
256,2.02107E+11,36.4,114.92,21.19,0,0,1.889999839,6.583883,7.59289
257,2.02107E+11,36.4,114.92,33.66,0,0,2.300000284,7.256351,8.183768
258,2.02107E+11,36.42,114.93,25.5,0,0,2.309999894,6.7831492,8.010261
259,2.02107E+11,36.71,114.92,43.36,0.054392212,500,2.070000162,6.0424585,7.3856554
260,2.02107E+11,36.71,114.91,38.89,0.09593764,500,2.309999894,6.4437957,7.7885046
261,2.02107E+11,38.59,116.21,26.67,0.34326993,375,1.870000153,3.5742567,2.5190527
262,2.02107E+11,39.51,116.87,24.83,0.337132,750,1.470000017,4.507449,4.744221
263,2.02107E+11,39.52,116.87,21.12,0.32209024,750,1.040000236,4.3707232,4.6766996
264,2.02107E+11,39.17,117.2,21.86,0.45882487,125,0.36999982,2.7865593,4.0698576
265,2.02107E+11,39.25,117.21,34.7,0.48947953,0,1.109999837,3.005961,4.068374
266,2.02107E+11,38.68,115.98,23.61,0.22542343,0,0.92000002,2.58327,2.6005132
267,2.02107E+11,39.44,116.54,20.74,0.16704604,125,1.120000146,3.620169,4.2746286
268,2.02107E+11,38.28,115.31,21.11,0.32942018,125,1.150000026,3.0488555,3.088959
269,2.02107E+11,38.48,116.07,21.77,0.47133984,375,1.590000349,2.8643408,3.3414443
270,2.02107E+11,38.53,116.21,25.54,0.46229314,375,1.369999954,2.4310102,3.2475777
271,2.02107E+11,38.52,116.22,23.91,0.6215809,375,0.830000383,2.6825478,2.8095007
272,2.02107E+11,38.61,116.18,21.21,0.5615447,125,1.380000147,2.6709611,3.13297
273,2.02107E+11,38.44,115.49,20.27,0.437568,0,1.050000195,3.062445,3.7264473
274,2.02107E+11,37.49,115.17,21.53,0.007731174,125,0.379999925,3.8482363,3.6293943
275,2.02107E+11,36.73,115.14,21.96,0,0,2.549999626,6.5894737,14.609104
276,2.02107E+11,36.3,114.96,24.43,1.0293585,500,4.339999985,10.805461,16.02968
277,2.02107E+11,36.39,114.91,20.83,1.1108175,500,4.070000257,10.408673,16.242714
278,2.02107E+11,36.35,115.07,21.35,1.5481887,500,4.519999959,11.523572,16.907324
279,2.02107E+11,36.42,115.1,21.95,1.8794683,500,4.590000026,11.054026,16.786228
280,2.02107E+11,38.98,117.42,22.44,0.6990972,125,0.920000311,3.184215,6.377107
281,2.02107E+11,38.98,117.45,20.32,0.777335,0,0.79000002,3.4324446,6.0972934
282,2.02107E+11,39.17,117.65,28.1,0.41722542,0,1.159999869,3.83549,7.659477
283,2.02107E+11,36.59,115.24,28.01,1.3649397,500,3.990000114,9.3580675,15.41477
284,2.02107E+11,36.71,115.14,32.24,1.1931215,500,3.800000064,9.800657,16.208836
285,2.02107E+11,36.9,115.09,20.28,0.99994984,500,3.120000474,11.6682825,14.412739
286,2.02107E+11,38.55,115.56,20.28,0.7460824,3875,1.919999951,5.7167206,12.409481
287,2.02107E+11,38.89,117.15,20.46,0.14458162,3875,0.23000002,3.3697152,6.0647597
288,2.02107E+11,39.25,117.19,20.4,0.4995872,750,1.220000209,3.83311,7.9485445
289,2.02107E+11,39.1,116.46,35.57,0.68735775,0,2.98999995,3.5740502,8.472682
290,2.02107E+11,39.09,116.44,25.31,0.70338334,0,2.329999814,3.6311889,8.312762
291,2.02107E+11,38.99,116.36,21.81,0.5900428,0,1.320000156,3.9439745,9.208476
292,2.02107E+11,39.01,116.34,46.8,0.52409243,125,1.180000138,4.3675313,9.403191
293,2.02107E+11,39.01,116.36,31.84,0.4483006,375,2.22000014,4.7471485,9.406149
294,2.02107E+11,39,116.36,26.96,0.37555263,375,0.989999971,5.1305265,9.391738
295,2.02107E+11,38.91,116.09,27.04,0.26650205,125,1.469999901,5.5655026,9.4920635
296,2.02107E+11,38.87,116.11,23.43,0.07705721,375,1.37000042,5.2768416,9.040678
297,2.02107E+11,38.87,116.33,43.6,0.036252447,375,1.219999744,4.5451636,8.151864
298,2.02107E+11,38.8,116.07,23.66,0,0,1.090000267,5.3828545,9.206709
299,2.02107E+11,38.7,115.87,21.21,0.033378387,125,0.730000029,4.386257,8.947429
300,2.02107E+11,38.58,115.72,22.03,0,0,1.419999753,4.011355,7.35703
301,2.02107E+11,38.51,115.49,28.75,0,0,1.270000008,4.3104787,8.419706
302,2.02107E+11,37.21,115.87,24.7,0.25833491,3500,1.029999694,4.7800493,7.6450887
303,2.02107E+11,36.87,115,21.42,1.21034675,3500,0.970000518,11.200356,10.15723
304,2.02107E+11,38.37,116.6,22.24,1.4016511,500,2.230000449,9.178074,14.996154
