,time,lat,lon,rain,MEV,HMV,vr500,vws1,vws3,mfc
72,202107202150,36.42,115.1,21.95,1.8794682999999999,500.0,4.5900000259280205,11.054026,16.786228,10.136451
73,202107210140,36.59,115.24,28.01,1.3649397,500.0,3.9900001138448715,9.3580675,15.41477,8.967965
74,202107210820,36.71,115.14,32.24,1.1931215,500.0,3.800000064074993,9.800657,16.208836,9.37037
75,202107311310,38.37,116.6,22.24,1.4016511,500.0,2.230000449344516,9.178074,14.996154,13.63731
76,202107311330,38.28,116.61,21.98,1.7084062999999998,500.0,1.789999776519835,11.520877,15.992803,14.0576
77,202107311420,38.09,116.39,23.8,1.00239966,3875.0,3.4400003496557474,10.747179,16.648718,16.593899
78,202107311530,37.87,115.82,27.62,1.4349408000000001,2000.0,0.850000127684325,6.407611,13.295609,6.0181127
79,202107311620,37.8,115.88,25.95,1.4152618000000001,2000.0,1.210000249557197,7.7560854,14.955084,6.806989
80,202107311630,37.73,115.94,32.86,1.2765557,2000.0,1.3299999991431832,8.857571,15.797476,7.387548
81,202108021330,39.32,118.54,27.67,1.5202962,2000.0,1.1900000972673297,7.3700457,9.989079,5.159499
82,202108051420,39.32,117.91,20.84,1.5757493,3000.0,1.349999918602407,6.0552745,12.053705,7.3014183
83,202108070550,39.31,116.77,21.7,1.0300296,1000.0,1.5800000401213765,4.6681604,7.5896335,0.8320276
84,202108111920,39.41,118.33,21.44,1.5485974999999998,250.0,1.420000335201621,5.33276,6.165211,1.441484
85,202108191350,36.63,115.15,22.59,2.882539,500.0,4.2399996891617775,7.5640383,12.113665,4.5937614
86,202108200350,36.87,115.0,36.01,2.8782763000000005,500.0,4.5900000259280205,6.438623,11.718847,2.0252132
87,202108230700,36.51,115.16,20.72,2.8757146,500.0,4.2500002309679985,8.120045,11.751601,4.4174075
88,202108230710,36.48,115.23,24.47,2.6727596,500.0,4.4999998062849045,8.0886345,11.47699,0.98544514
89,202108230730,38.93,117.88,30.14,1.3360094,500.0,0.5000002565793693,1.9588841,3.6560097,0.61324
90,202206130040,38.7,117.52,22.27,1.222827,375.0,2.249999437481165,13.653314,19.113714,6.1105514
91,202206130050,38.39,117.98,28.04,1.8286369,375.0,1.9199998350813985,17.528692,18.277287,3.2623613
92,202206131110,37.46,115.64,22.24,1.16926814,250.0,1.9600000232458115,8.389492,8.280954,0.9659761
93,202206140030,37.02,115.58,25.58,2.238386,250.0,2.320000668987632,7.7100787,8.00139,3.7022598
94,202206171520,37.93,117.12,20.26,1.6335674,125.0,0.9199998457916081,7.1696706,13.303061,1.317707
95,202206250740,38.62,117.06,26.44,1.16164505,875.0,3.269999986514449,7.8157997,10.365731,6.1522236
96,202206260600,38.22,117.63,20.35,1.2786273,375.0,1.7800001660361886,10.093451,12.653157,6.8639207
97,202206260750,38.35,117.29,20.22,1.19638906,250.0,1.4600002905353904,6.49471,8.2042055,8.704591
98,202206260840,38.18,116.2,27.7,1.2031211,625.0,2.129999687895179,7.1491575,7.4092326,8.697511
99,202206260850,38.19,116.2,27.42,1.3426527000000001,375.0,2.549999626353383,7.8203015,7.5810685,11.9659815
